filename,width,height,class,xmin,ymin,xmax,ymax
IMG_20200125_173834.jpg,800,600,bottle,136,208,512,349
IMG_20200125_173834_01.jpg,800,600,bottle,288,208,664,349
IMG_20200125_173834_02.jpg,643,408,bottle,78,195,454,336
IMG_20200125_173834_03.jpg,553,515,bottle,0,144,314,285
IMG_20200125_173834_04.jpg,528,478,bottle,6,133,382,274
IMG_20200125_173834_05.jpg,646,384,bottle,119,144,495,285
IMG_20200125_173834_06.jpg,588,526,bottle,115,199,491,340
IMG_20200125_173834_07.jpg,552,430,bottle,86,71,462,212
IMG_20200125_173834_08.jpg,634,450,bottle,179,121,555,262
IMG_20200125_173834_09.jpg,640,455,bottle,245,188,621,329
IMG_20200125_173834_10.jpg,657,388,bottle,228,102,604,243
IMG_20200125_173834_11.jpg,600,413,bottle,230,61,599,202
IMG_20200125_173837.jpg,800,600,bottle,327,114,496,550
IMG_20200125_173837_01.jpg,800,600,bottle,304,114,473,550
IMG_20200125_173837_02.jpg,515,516,bottle,166,65,335,501
IMG_20200125_173837_03.jpg,550,409,bottle,212,34,381,408
IMG_20200125_173837_04.jpg,638,451,bottle,208,0,377,406
IMG_20200125_173837_05.jpg,662,524,bottle,291,85,460,521
IMG_20200125_173837_06.jpg,653,431,bottle,277,33,446,430
IMG_20200125_173837_07.jpg,672,469,bottle,205,66,374,468
IMG_20200125_173837_08.jpg,575,395,bottle,136,0,305,394
IMG_20200125_173837_09.jpg,623,418,bottle,182,21,351,417
IMG_20200125_173837_10.jpg,556,377,bottle,81,0,250,376
IMG_20200125_173837_11.jpg,590,388,bottle,260,0,429,369
IMG_20200125_173839.jpg,800,600,bottle,223,166,642,488
IMG_20200125_173839_01.jpg,800,600,bottle,158,166,577,488
IMG_20200125_173839_02.jpg,693,412,bottle,159,106,578,411
IMG_20200125_173839_03.jpg,667,489,bottle,203,56,622,378
IMG_20200125_173839_04.jpg,645,470,bottle,134,75,553,397
IMG_20200125_173839_05.jpg,592,523,bottle,189,102,591,424
IMG_20200125_173839_06.jpg,517,377,bottle,10,106,429,376
IMG_20200125_173839_07.jpg,535,510,bottle,0,114,387,436
IMG_20200125_173839_08.jpg,639,453,bottle,44,51,463,373
IMG_20200125_173839_09.jpg,516,433,bottle,55,136,474,432
IMG_20200125_173839_10.jpg,530,438,bottle,151,159,529,437
IMG_20200125_173839_11.jpg,701,380,bottle,155,61,574,379
IMG_20200125_173842.jpg,800,600,bottle,222,229,496,350
IMG_20200125_173842_01.jpg,800,600,bottle,304,229,578,350
IMG_20200125_173842_02.jpg,518,502,bottle,134,197,408,318
IMG_20200125_173842_03.jpg,581,486,bottle,212,168,486,289
IMG_20200125_173842_04.jpg,625,408,bottle,203,53,477,174
IMG_20200125_173842_05.jpg,487,454,bottle,88,198,362,319
IMG_20200125_173842_06.jpg,598,424,bottle,132,116,406,237
IMG_20200125_173842_07.jpg,660,403,bottle,192,215,466,336
IMG_20200125_173842_08.jpg,549,496,bottle,259,217,533,338
IMG_20200125_173842_09.jpg,526,523,bottle,238,221,512,342
IMG_20200125_173842_10.jpg,682,533,bottle,233,214,507,335
IMG_20200125_173842_11.jpg,564,493,bottle,92,172,366,293
IMG_20200125_173845.jpg,800,600,bottle,43,214,712,465
IMG_20200125_173845_01.jpg,800,600,bottle,88,214,757,465
IMG_20200125_173845_02.jpg,609,471,bottle,0,86,525,337
IMG_20200125_173845_03.jpg,676,425,bottle,0,40,626,291
IMG_20200125_173845_04.jpg,538,430,bottle,0,103,516,354
IMG_20200125_173845_05.jpg,708,479,bottle,32,130,701,381
IMG_20200125_173845_06.jpg,510,514,bottle,29,184,509,435
IMG_20200125_173845_07.jpg,706,409,bottle,28,36,697,287
IMG_20200125_173845_08.jpg,596,515,bottle,14,188,595,439
IMG_20200125_173845_09.jpg,689,496,bottle,0,190,655,441
IMG_20200125_173845_10.jpg,588,402,bottle,35,200,587,401
IMG_20200125_173845_11.jpg,494,387,bottle,4,6,493,257
IMG_20200125_173846.jpg,800,600,bottle,10,78,635,579
IMG_20200125_173846_01.jpg,800,600,bottle,165,78,790,579
IMG_20200125_173846_02.jpg,695,470,bottle,0,63,624,469
IMG_20200125_173846_03.jpg,569,539,bottle,0,52,512,538
